Model,Score
Regnet_y_16gf,27.008490021034085
Convnext_tiny,26.995138130804285
Efficientnet_v2_s,26.845064061475668
Regnet_y_32gf,26.815290383571643
Efficientnet_v2_m,26.80395326283586
Convnext_small,26.735005376078888
Efficientnet_v2_l,26.639127874639357
Resnext50_32x4d,26.583376305747468
Efficientnet_b6,26.543245402514597
Efficientnet_b4,26.538262786240722
Maxvit_t,26.520559373893633
Resnet50,26.508806455843896
Convnext_base,26.506448920413433
Efficientnet_b3,26.504277823188186
Efficientnet_b5,26.495646696758584
Regnet_y_8gf,26.465433231644127
Efficientnet_b7,26.435642172459715
Regnet_y_3_2gf,26.42847111311309
Swin_v2_s,26.38618759572086
Regnet_x_16gf,26.364804820218822
Resnext101_64x4d,26.347642129622308
Swin_s,26.3397139365349
Swin_v2_b,26.33220104214759
Regnet_x_3_2gf,26.27160417448673
Efficientnet_b2,26.270613929729638
Regnet_x_1_6gf,26.262956997842316
Swin_b,26.261559497792053
Regnet_x_8gf,26.25374718322102
Swin_t,26.232661424945015
Resnet101,26.225426120700384
Resnext101_32x8d,26.192080490532867
Swin_v2_t,26.1682344113779
Wide_resnet50_2,26.139065024593318
Resnet152,26.129693675502253
Regnet_y_1_6gf,26.126461726015002
Efficientnet_b1,26.09052215983411
Regnet_y_800mf,26.03349926389012
Convnext_large,25.992905529167984
Regnet_x_32gf,25.97834310124038
Regnet_x_800mf,25.9573667695414
Mnasnet1_3,25.94938587638914
Wide_resnet101_2,25.866382249106564
Efficientnet_b0,25.832781579126923
Shufflenet_v2_x2_0,25.582961438929257
Mobilenet_v3_large,25.568773267516598
Regnet_y_400mf,25.279990525089968
Inception_v3,25.249359258980498
Mnasnet1_0,25.23810898963281
Regnet_x_400mf,25.08638752050184
Regnet_y_128gf,25.06657663932268
Resnet18,25.052352003676155
Resnet34,24.934327729496342
Shufflenet_v2_x1_5,24.92044822243895
Densenet161,24.894616957718977
Mnasnet0_75,24.8824308171545
Mobilenet_v2,24.872257308253566
Densenet201,24.870796387514048
Densenet169,24.619930336420033
Densenet121,24.48713425747605
Mobilenet_v3_small,24.20940429800194
Mnasnet0_5,24.079857457198663
Shufflenet_v2_x1_0,24.015304847752972
Vgg19_bn,23.891905754143067
Vgg16_bn,23.79240103765047
Googlenet,23.7550444186963
Vgg13_bn,23.48025606902705
Vgg19,23.462461567147564
Vgg16,23.365935533864352
Vgg11_bn,23.323598686792504
Vgg13,23.05714148321236
Vgg11,22.99642326287462
Squeezenet1_1,22.557705456073503
Squeezenet1_0,22.29929905669709
Alexnet,22.090163802784026
Shufflenet_v2_x0_5,22.084598263836853
